"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"C32","GRM31CC72A475ME11L","Top","FP-GRM31C-0_3-e0_3_0_9-MFG","95.0976","95.7580","180","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 4.7uF, X7S, 22%, 20%, 100V"
"C31","C0402C472K4RECAUTO","Top","CAP-0402","120.3198","98.0948","270","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.0047uF, Surface Mount, 0402"
"C30","C0402C472K4RECAUTO","Top","CAP-0402","120.3198","89.8652","90","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.0047uF, Surface Mount, 0402"
"C29","C0402C472K4RECAUTO","Top","CAP-0402","120.1674","78.8924","90","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.0047uF, Surface Mount, 0402"
"C25","C0805C225J4REC7800","Top","CAP-0805","72.9234","82.7278","0","ESD SMD Comm X7R 0805 (2012Metric) Ceramic Capacitor 0.079Lx0.049W 2.00mmx1.25mm X7R ±5% 2.2muF"
"C24","C0805C225J4REC7800","Top","CAP-0805","71.1708","73.4314","270","ESD SMD Comm X7R 0805 (2012Metric) Ceramic Capacitor 0.079Lx0.049W 2.00mmx1.25mm X7R ±5% 2.2muF"
"C23","GRM31CC72A475KE11L","Bottom","FP-GRM31C-0_3-e0_3_0_9-MFG","90.4240","96.5962","270","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 4.7uF, X7S, 22%, 10%, 100V"
"C22","C0805C224J1REC7800","Bottom","CAP-0805","96.6470","89.8398","0","Cap Ceramic 0.22uF 100V X7R 5% SMD 0805 125°C T/R"
"C21","C0805C224J1REC7800","Bottom","CAP-0805","97.6376","86.2076","90","Cap Ceramic 0.22uF 100V X7R 5% SMD 0805 125°C T/R"
"C20","C0805C224J1REC7800","Bottom","CAP-0805","96.7740","78.1304","0","Cap Ceramic 0.22uF 100V X7R 5% SMD 0805 125°C T/R"
"C18","GJM0335C1E1R0WB01D","Bottom","FP-GJM033-0_03-IPC_A","97.4344","72.1868","270","Ceramic Capacitor 1pF ±0.05pF 25V C0G 0201 (0603 Metric)"
"C17","MT05B104M500BD","Bottom","CAP-0805","93.2180","77.0890","90","Cap. SMD, 0805, X7R, 100nF, 20%, 50V,"
"C16","GRM31CC72A475KE11L","Bottom","FP-GRM31C-0_3-e0_3_0_9-MFG","80.9752","74.8030","0","Chip Multilayer Ceramic Capacitors for General Purpose, 1206, 4.7uF, X7S, 22%, 10%, 100V"
"C15","C0402C153J5REC7867","Bottom","CAP-0402","89.9414","79.0956","180","Ceramic Capacitor, Multilayer, Ceramic, 50V, 5% +Tol, 5% -Tol, X7R, 15% TC, 0.015uF, Surface Mount, 0402"
"C14","C0805C225J4REC7800","Bottom","CAP-0805","80.2640","95.6056","270","ESD SMD Comm X7R 0805 (2012Metric) Ceramic Capacitor 0.079Lx0.049W 2.00mmx1.25mm X7R ±5% 2.2muF"
"C13","C0805C225J4REC7800","Bottom","CAP-0805","79.3242","92.9132","0","ESD SMD Comm X7R 0805 (2012Metric) Ceramic Capacitor 0.079Lx0.049W 2.00mmx1.25mm X7R ±5% 2.2muF"
"C12","C0402C223K5RECAUTO","Bottom","CAP-0402","80.5180","86.7664","0","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.022uF, Surface Mount, 0402"
"C11","C0805C225J4REC7800","Bottom","CAP-0805","72.4408","95.8088","270","ESD SMD Comm X7R 0805 (2012Metric) Ceramic Capacitor 0.079Lx0.049W 2.00mmx1.25mm X7R ±5% 2.2muF"
"C10","C0805C225J4REC7800","Bottom","CAP-0805","74.2696","95.8342","270","ESD SMD Comm X7R 0805 (2012Metric) Ceramic Capacitor 0.079Lx0.049W 2.00mmx1.25mm X7R ±5% 2.2muF"
"C9","GRM0335C1H121GA01D","Bottom","FP-GRM033-0_03-IPC_A","80.7466","79.6036","0","Chip Multilayer Ceramic Capacitors for General Purpose, 0201, 120pF, C0G, 30ppm/°C, 2%, 50V"
"C8","C0402C682K5RECAUTO","Bottom","CAP-0402","80.2386","78.2320","90","Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.0068uF, Surface Mount, 0402"
"C7","GJM0335C1E1R0WB01D","Top","FP-GJM033-0_03-IPC_A","81.9417","104.6226","0","Ceramic Capacitor 1pF ±0.05pF 25V C0G 0201 (0603 Metric)"
"C6","KGM15CR71C105JT","Top","CAP-0603","88.1634","97.2820","90","Cap Cer 1UF 16V X7R 0603"
"C5","KGM15CR71C105JT","Top","CAP-0603","90.0176","100.4824","270","Cap Cer 1UF 16V X7R 0603"
"33","KGM15CR71C105JT","Top","CAP-0603","88.6714","100.4570","270","Cap Cer 1UF 16V X7R 0603"
"C3","CL10A225KO8NNNC","Top","FP-CL10-IPC_A","96.3422","91.0082","270","Cap Ceramic 2.2uF 16V X5R ±10% Pad SMD 0603 +85°C T/R"
"C2","CL10A225KO8NNNC","Top","FP-CL10-IPC_A","94.8182","89.9160","270","Cap Ceramic 2.2uF 16V X5R ±10% Pad SMD 0603 +85°C T/R"
"C1","CL05B104KO5NNNC","Top","CAPC1050X55X23ML05T13","69.9008","90.3732","270","Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"
